name,website,investment_range_low,investment_range_high,last_fund_size,city,state,country,investments_last_twelve,active_portfolio,investments,dry_powder,last_fund_date,year_founded,description
SJF Ventures,www.sjfventures.com,3,10,125,Durham,NC,United States,5,12,18,150.56,15-Dec-2016,1999,"SJF Ventures is an expansion-stage venture capital firm that focuses on the clean energy and efficiency, asset recovery and recycling, food and sustainable agriculture, education, health and wellness, and consumer and enterprise software sectors. The firm has offices in Durham, North Carolina; San Francisco and New York."
Samsung NEXT Ventures,samsungnext.com,null,null,150,san francisco,CA,United States,5,6,6,null,6-Jan-2017,null,"Samsung Global Innovation Center is a venture capital firm which invests in entrepreneurs and startups to create software and services. The team of entrepreneurs, engineers, investors, strategists, business developers and experts work together to empower the global community of startups. the firm is based in Silicon Valley, California with additional offices in New York, New York; Tel Aviv, Israel and Japan, Seoul."
Accelerate-IT ventures,http://accelerateit.com/platform/accelerate-it-ventures/,null,null, null,San Diego,CA,United States,1,4,6,565.5,null,2008,null
500 Startups,www.500.co,0.05,0.5,5,Mountain View,CA,United States,71,354,488,342.29,31-Dec-2016,2010,"500 Startups is a seed fund and startup accelerator that offers accelerator programs for start-up companies operating in the financial services, consumer products, healthcare, e-commerce, business productivity, education, infrastructure services and internet sectors. The firm was founded in 2010 and is headquartered in Mountain View, California."
Accel Partners,www.accel.com,1,30,450,Palo Alto,CA,United States,68,146,244,"5,351.18",30-Nov-2016,1983,"Accel Partners is a Palo Alto, California based venture capital investment firm. The firm focuses on investing in companies within the internet infrastructure, internet software, consumer services, mobile, software, information technology, cyber security and cloud-enabled service sectors."
Benchmark Capital,www.benchmark.com,1,15,42.5,San Francisco,CA,United States,9,37,70,413.2,25-Jan-2016,1995,"Benchmark Capital is an early stage venture capital firm which focuses on investing in enterprise software, communication, security, semiconductor, mobile, social, cloud computing, consumer service, financial service, internet retail, online service, infrastructure service, system software and optical device sectors. The firm was established in 1995 and is headquartered in San Francisco, California."
Bloomberg Beta,www.bloombergbeta.com,null,null,75,San Francisco,CA,United States,20,38,50,89.21,19-Jul-2016,2013,"Bloomberg Beta is a corporate venture capital arm of Bloomberg. The firm's goal is to expand Bloomberg's horizons by backing extraordinary entrepreneurs or creating companies, who have something to teach the world. I t was founded in 2013 and is headquartered in San Francisco, California with an additional office in New York, New York."
Canaan Partners,www.canaan.com,0.05,80,60,Menlo Park,CA,United States,32,71,132,641.29,19-Aug-2015,1987,"Canaan Partners is a global venture capital firm based in Menlo Park, California. The firm focuses on investing in companies within the digital media, communications, mobility, enterprise, bio-pharmaceuticals, medical devices, digital health, medtech, diagnostics and infrastructure sectors. It was founded in 1987."
Frontier venture Capital,www.draperfrontier.com,0.05,0.5,11.17,santa monica,CA,United States,5,12,13,6.4,30-Sep-2016,2002,"Frontier Venture Capital is a venture capital firm headquartered in Santa Monica, California and was founded in 2002. The firm seeks to invest in the media and technology sectors and has additional offices in Portland, Santa Barbara, Sacramento and New York. It specializes in early stage investments."
First Round Capital,www.firstround.com,0.1,0.5,180.5,San Francisco,CA,United States,39,104,230,389,8-Sep-2016,2004,"First Round Capital is a venture capital firm which specializes in seed and early-stage investments. The firm prefers to invest in companies based in the United States, operating in the technology-based, distribution, marketing focused and advertising sectors. First Round was founded in 2004 and is based in San Francisco, California."
